Kalshi manage-only 2026-09-05T06:06:06-05:00
Selling YES KXHIGHPHIL-26SEP04-B88.5 count=2 @ 0 (stop_50pct)
Selling YES KXLOWTPHIL-26SEP04-B73.5 count=2 @ 0 (stop_50pct)
Selling YES KXHIGHCHI-26SEP04-B93.5 count=1 @ 0 (stop_50pct)
Manage hold KXLOWTDEN-26SEP05-B61.5 tomorrow_favorite entry=0.43 bid=0.23 sl=0.215 (hold_settlement)
Manage hold KXLOWTLAX-26SEP05-B65.5 tomorrow_favorite entry=0.58 bid=0.53 sl=0.29 (hold_settlement)
Manage hold KXLOWTPHIL-26SEP05-B69.5 tomorrow_favorite entry=0.29 bid=0.28 sl=0.145 (hold_settlement)
Manage hold KXHIGHDEN-26SEP05-B91.5 tomorrow_favorite entry=0.43 bid=0.43 sl=0.215 (hold_settlement)
Manage hold KXHIGHLAX-26SEP05-B79.5 tomorrow_favorite entry=0.41 bid=0.44 sl=0.205 (hold_settlement)
Manage hold KXHIGHPHIL-26SEP05-B82.5 tomorrow_favorite entry=0.47 bid=0.39 sl=0.235 (hold_settlement)
Manage hold KXHIGHTSFO-26SEP05-B69.5 tomorrow_favorite entry=0.31 bid=0.19 sl=0.155 (hold_settlement)
Manage hold KXHIGHTLV-26SEP05-B97.5 tomorrow_favorite entry=0.61 bid=0.71 sl=0.305 (hold_settlement)
Manage hold KXLOWTCHI-26SEP05-B72.5 tomorrow_favorite entry=0.38 bid=0.41 sl=0.19 (hold_settlement)
Manage hold KXLOWTDEN-26SEP05-B61.5 tomorrow_favorite entry=0.43 bid=0.23 sl=0.215 (hold_settlement)
Manage hold KXLOWTLAX-26SEP05-B65.5 tomorrow_favorite entry=0.6 bid=0.53 sl=0.3 (hold_settlement)
Manage hold KXLOWTPHIL-26SEP05-B69.5 tomorrow_favorite entry=0.31 bid=0.28 sl=0.155 (hold_settlement)
Manage hold KXHIGHDEN-26SEP05-B91.5 tomorrow_favorite entry=0.43 bid=0.43 sl=0.215 (hold_settlement)
Manage hold KXHIGHLAX-26SEP05-B79.5 tomorrow_favorite entry=0.41 bid=0.44 sl=0.205 (hold_settlement)
Manage hold KXHIGHPHIL-26SEP05-B82.5 tomorrow_favorite entry=0.5 bid=0.39 sl=0.25 (hold_settlement)
Manage hold KXHIGHTSFO-26SEP05-B69.5 tomorrow_favorite entry=0.31 bid=0.19 sl=0.155 (hold_settlement)
Manage hold KXHIGHTLV-26SEP05-B97.5 tomorrow_favorite entry=0.6 bid=0.71 sl=0.3 (hold_settlement)
Manage hold KXLOWTCHI-26SEP05-B72.5 tomorrow_favorite entry=0.42 bid=0.41 sl=0.21 (hold_settlement)
Manage hold KXLOWTDEN-26SEP05-B61.5 tomorrow_favorite entry=0.38 bid=0.23 sl=0.19 (hold_settlement)
Manage hold KXLOWTLAX-26SEP05-B65.5 tomorrow_favorite entry=0.6 bid=0.53 sl=0.3 (hold_settlement)
Manage hold KXLOWTPHIL-26SEP05-B69.5 tomorrow_favorite entry=0.31 bid=0.28 sl=0.155 (hold_settlement)
Manage hold KXHIGHDEN-26SEP05-B91.5 tomorrow_favorite entry=0.44 bid=0.43 sl=0.22 (hold_settlement)
Manage hold KXHIGHLAX-26SEP05-B79.5 tomorrow_favorite entry=0.42 bid=0.44 sl=0.21 (hold_settlement)
Manage hold KXHIGHPHIL-26SEP05-B82.5 tomorrow_favorite entry=0.5 bid=0.36 sl=0.25 (hold_settlement)
Manage hold KXHIGHTSFO-26SEP05-B69.5 tomorrow_favorite entry=0.31 bid=0.19 sl=0.155 (hold_settlement)
Manage hold KXHIGHTLV-26SEP05-B97.5 tomorrow_favorite entry=0.58 bid=0.71 sl=0.29 (hold_settlement)
Manage hold KXLOWTCHI-26SEP05-B72.5 tomorrow_favorite entry=0.4 bid=0.41 sl=0.2 (hold_settlement)
Manage hold KXLOWTDEN-26SEP05-B61.5 tomorrow_favorite entry=0.38 bid=0.23 sl=0.19 (hold_settlement)
Manage hold KXLOWTLAX-26SEP05-B65.5 tomorrow_favorite entry=0.6 bid=0.53 sl=0.3 (hold_settlement)
Manage hold KXLOWTPHIL-26SEP05-B69.5 tomorrow_favorite entry=0.31 bid=0.28 sl=0.155 (hold_settlement)
Manage hold KXHIGHDEN-26SEP05-B91.5 tomorrow_favorite entry=0.44 bid=0.43 sl=0.22 (hold_settlement)
Manage hold KXHIGHLAX-26SEP05-B79.5 tomorrow_favorite entry=0.42 bid=0.44 sl=0.21 (hold_settlement)
Manage hold KXHIGHPHIL-26SEP05-B82.5 tomorrow_favorite entry=0.49 bid=0.36 sl=0.245 (hold_settlement)
Manage hold KXHIGHTSFO-26SEP05-B71.5 tomorrow_favorite entry=0.33 bid=0.56 sl=0.165 (hold_settlement)
Manage hold KXHIGHTLV-26SEP05-B97.5 tomorrow_favorite entry=0.58 bid=0.71 sl=0.29 (hold_settlement)
Manage hold KXLOWTCHI-26SEP05-B72.5 tomorrow_favorite entry=0.4 bid=0.41 sl=0.2 (hold_settlement)
Manage hold KXLOWTDEN-26SEP05-B61.5 tomorrow_favorite entry=0.38 bid=0.23 sl=0.19 (hold_settlement)
Manage hold KXLOWTLAX-26SEP05-B65.5 tomorrow_favorite entry=0.59 bid=0.53 sl=0.295 (hold_settlement)
Manage hold KXLOWTPHIL-26SEP05-B69.5 tomorrow_favorite entry=0.3 bid=0.28 sl=0.15 (hold_settlement)
Manage hold KXHIGHDEN-26SEP05-B91.5 tomorrow_favorite entry=0.45 bid=0.43 sl=0.225 (hold_settlement)
Manage hold KXHIGHLAX-26SEP05-B79.5 tomorrow_favorite entry=0.42 bid=0.44 sl=0.21 (hold_settlement)
Manage hold KXHIGHPHIL-26SEP05-B82.5 tomorrow_favorite entry=0.53 bid=0.36 sl=0.265 (hold_settlement)
Manage hold KXHIGHTSFO-26SEP05-B71.5 tomorrow_favorite entry=0.33 bid=0.56 sl=0.165 (hold_settlement)
Manage hold KXHIGHTLV-26SEP05-B97.5 tomorrow_favorite entry=0.59 bid=0.71 sl=0.295 (hold_settlement)
Manage hold KXLOWTCHI-26SEP05-B72.5 tomorrow_favorite entry=0.4 bid=0.41 sl=0.2 (hold_settlement)
Manage hold KXLOWTDEN-26SEP05-B61.5 tomorrow_favorite entry=0.39 bid=0.23 sl=0.195 (hold_settlement)
Manage hold KXLOWTLAX-26SEP05-B65.5 tomorrow_favorite entry=0.58 bid=0.53 sl=0.29 (hold_settlement)
Manage hold KXLOWTPHIL-26SEP05-B69.5 tomorrow_favorite entry=0.32 bid=0.28 sl=0.16 (hold_settlement)
Manage hold KXHIGHDEN-26SEP05-B91.5 tomorrow_favorite entry=0.44 bid=0.43 sl=0.22 (hold_settlement)
Manage hold KXHIGHLAX-26SEP05-B79.5 tomorrow_favorite entry=0.43 bid=0.44 sl=0.215 (hold_settlement)
Manage hold KXHIGHPHIL-26SEP05-B82.5 tomorrow_favorite entry=0.53 bid=0.36 sl=0.265 (hold_settlement)
Manage hold KXHIGHTSFO-26SEP05-B71.5 tomorrow_favorite entry=0.33 bid=0.56 sl=0.165 (hold_settlement)
Manage hold KXHIGHTLV-26SEP05-B97.5 tomorrow_favorite entry=0.59 bid=0.71 sl=0.295 (hold_settlement)
Manage hold KXLOWTCHI-26SEP05-B72.5 tomorrow_favorite entry=0.4 bid=0.41 sl=0.2 (hold_settlement)
Manage hold KXLOWTDEN-26SEP05-B61.5 tomorrow_favorite entry=0.35 bid=0.23 sl=0.175 (hold_settlement)
Manage hold KXLOWTLAX-26SEP05-B65.5 tomorrow_favorite entry=0.58 bid=0.53 sl=0.29 (hold_settlement)
Manage hold KXLOWTPHIL-26SEP05-B69.5 tomorrow_favorite entry=0.31 bid=0.28 sl=0.155 (hold_settlement)
Manage hold KXHIGHDEN-26SEP05-B91.5 tomorrow_favorite entry=0.44 bid=0.43 sl=0.22 (hold_settlement)
Manage hold KXHIGHLAX-26SEP05-B79.5 tomorrow_favorite entry=0.46 bid=0.44 sl=0.23 (hold_settlement)
Manage hold KXHIGHPHIL-26SEP05-B82.5 tomorrow_favorite entry=0.53 bid=0.36 sl=0.265 (hold_settlement)
Manage hold KXHIGHTSFO-26SEP05-B71.5 tomorrow_favorite entry=0.34 bid=0.56 sl=0.17 (hold_settlement)
Manage hold KXHIGHTLV-26SEP05-B97.5 tomorrow_favorite entry=0.59 bid=0.71 sl=0.295 (hold_settlement)
Manage hold KXLOWTCHI-26SEP05-B72.5 tomorrow_favorite entry=0.4 bid=0.41 sl=0.2 (hold_settlement)
Manage hold KXLOWTDEN-26SEP05-B61.5 tomorrow_favorite entry=0.37 bid=0.23 sl=0.185 (hold_settlement)
Manage hold KXLOWTLAX-26SEP05-B65.5 tomorrow_favorite entry=0.58 bid=0.53 sl=0.29 (hold_settlement)
Manage hold KXLOWTPHIL-26SEP05-B69.5 tomorrow_favorite entry=0.31 bid=0.28 sl=0.155 (hold_settlement)
Manage hold KXHIGHDEN-26SEP05-B91.5 tomorrow_favorite entry=0.45 bid=0.43 sl=0.225 (hold_settlement)
Manage hold KXHIGHLAX-26SEP05-B79.5 tomorrow_favorite entry=0.42 bid=0.44 sl=0.21 (hold_settlement)
Manage hold KXHIGHPHIL-26SEP05-B82.5 tomorrow_favorite entry=0.49 bid=0.36 sl=0.245 (hold_settlement)
Manage hold KXHIGHTSFO-26SEP05-B71.5 tomorrow_favorite entry=0.36 bid=0.56 sl=0.18 (hold_settlement)
Manage hold KXHIGHTLV-26SEP05-B97.5 tomorrow_favorite entry=0.59 bid=0.71 sl=0.295 (hold_settlement)
Manage hold KXLOWTCHI-26SEP05-B72.5 tomorrow_favorite entry=0.42 bid=0.41 sl=0.21 (hold_settlement)
Manage hold KXLOWTDEN-26SEP05-B61.5 tomorrow_favorite entry=0.39 bid=0.23 sl=0.195 (hold_settlement)
Manage hold KXLOWTLAX-26SEP05-B65.5 tomorrow_favorite entry=0.5 bid=0.53 sl=0.25 (hold_settlement)
Manage hold KXLOWTPHIL-26SEP05-B69.5 tomorrow_favorite entry=0.32 bid=0.28 sl=0.16 (hold_settlement)
Manage hold KXHIGHDEN-26SEP05-B93.5 today_favorite entry=0.47 bid=0.48 sl=0.235 (hold_settlement)
Manage hold KXHIGHLAX-26SEP05-B79.5 today_favorite entry=0.46 bid=0.44 sl=0.23 (hold_settlement)
Manage hold KXHIGHPHIL-26SEP05-B84.5 today_favorite entry=0.52 bid=0.49 sl=0.26 (hold_settlement)
Manage hold KXHIGHTSFO-26SEP05-B71.5 today_favorite entry=0.47 bid=0.56 sl=0.235 (hold_settlement)
Manage hold KXHIGHTLV-26SEP05-B97.5 today_favorite entry=0.71 bid=0.71 sl=0.355 (hold_settlement)
Manage hold KXLOWTCHI-26SEP05-B72.5 today_favorite entry=0.46 bid=0.41 sl=0.23 (hold_settlement)
Manage hold KXLOWTDEN-26SEP05-B61.5 today_favorite entry=0.4 bid=0.23 sl=0.2 (hold_settlement)
Manage hold KXLOWTLAX-26SEP05-B65.5 today_favorite entry=0.55 bid=0.53 sl=0.275 (hold_settlement)
Manage hold KXLOWTPHIL-26SEP05-B69.5 today_favorite entry=0.27 bid=0.28 sl=0.135 (hold_settlement)
Manage hold KXHIGHCHI-26SEP05-B83.5 today_favorite entry=0.14 bid=0.38 sl=0.07 (hold_settlement)
Manage hold KXHIGHDEN-26SEP05-B93.5 today_favorite entry=0.46 bid=0.48 sl=0.23 (hold_settlement)
Manage hold KXHIGHLAX-26SEP05-B79.5 today_favorite entry=0.48 bid=0.44 sl=0.24 (hold_settlement)
Manage hold KXHIGHPHIL-26SEP05-B84.5 today_favorite entry=0.51 bid=0.49 sl=0.255 (hold_settlement)
Manage hold KXHIGHTSFO-26SEP05-B71.5 today_favorite entry=0.48 bid=0.56 sl=0.24 (hold_settlement)
Manage hold KXLOWTCHI-26SEP05-B72.5 today_favorite entry=0.47 bid=0.41 sl=0.235 (hold_settlement)
Manage hold KXLOWTDEN-26SEP05-B61.5 today_favorite entry=0.4 bid=0.23 sl=0.2 (hold_settlement)
Manage hold KXLOWTLAX-26SEP05-B65.5 today_favorite entry=0.56 bid=0.53 sl=0.28 (hold_settlement)
Manage hold KXLOWTPHIL-26SEP05-B69.5 today_favorite entry=0.27 bid=0.28 sl=0.135 (hold_settlement)
Manage hold KXHIGHCHI-26SEP05-B83.5 today_favorite entry=0.15 bid=0.38 sl=0.075 (hold_settlement)
Manage hold KXHIGHDEN-26SEP05-B93.5 today_favorite entry=0.48 bid=0.48 sl=0.24 (hold_settlement)
Manage hold KXHIGHLAX-26SEP05-B79.5 today_favorite entry=0.45 bid=0.44 sl=0.225 (hold_settlement)
Manage hold KXHIGHPHIL-26SEP05-B84.5 today_favorite entry=0.53 bid=0.49 sl=0.265 (hold_settlement)
Manage hold KXHIGHTSFO-26SEP05-B71.5 today_favorite entry=0.48 bid=0.56 sl=0.24 (hold_settlement)
Manage hold KXLOWTCHI-26SEP05-B72.5 today_favorite entry=0.49 bid=0.41 sl=0.245 (hold_settlement)
Manage hold KXLOWTDEN-26SEP05-B61.5 today_favorite entry=0.4 bid=0.23 sl=0.2 (hold_settlement)
Manage hold KXLOWTLAX-26SEP05-B65.5 today_favorite entry=0.55 bid=0.53 sl=0.275 (hold_settlement)
Manage hold KXLOWTPHIL-26SEP05-B69.5 today_favorite entry=0.28 bid=0.28 sl=0.14 (hold_settlement)
----- stderr -----
Sell failed KXHIGHPHIL-26SEP04-B88.5: { error: { code: 'market_closed', message: 'market closed' } }
Sell failed KXLOWTPHIL-26SEP04-B73.5: { error: { code: 'market_closed', message: 'market closed' } }
Sell failed KXHIGHCHI-26SEP04-B93.5: { error: { code: 'market_closed', message: 'market closed' } }
